mit.edu
harvard.edu
stanford.edu
berkeley.edu
cornell.edu
washington.edu
princeton.edu
academia.edu
columbia.edu
umich.edu
yale.edu
psu.edu
upenn.edu
uci.edu
umn.edu
wisc.edu
jhu.edu
ucla.edu
cmu.edu
si.edu
uchicago.edu
utexas.edu
uiuc.edu
nyu.edu
purdue.edu
usc.edu
ucsd.edu
ufl.edu
duke.edu
umd.edu
unc.edu
msu.edu
illinois.edu
ucdavis.edu
northwestern.edu
colorado.edu
asu.edu
rutgers.edu
arizona.edu
virginia.edu
brookings.edu
bu.edu
osu.edu
tamu.edu
wustl.edu
ncsu.edu
utah.edu
pitt.edu
ucsb.edu
georgetown.edu
indiana.edu
tufts.edu
unl.edu
caltech.edu
vt.edu
hawaii.edu
cuny.edu
brown.edu
hbs.edu
gatech.edu
rochester.edu
umass.edu
iu.edu
uga.edu
oregonstate.edu
vanderbilt.edu
uiowa.edu
gwu.edu
udel.edu
colostate.edu
iastate.edu
wsu.edu
usf.edu
ucsf.edu
anu.edu.au
unsw.edu.au
rice.edu
nd.edu
fsu.edu
dartmouth.edu
byu.edu
uoregon.edu
uky.edu
unimelb.edu.au
uic.edu
gmu.edu
buffalo.edu
emory.edu
pku.edu.cn
uq.edu.au
ucsc.edu
ucr.edu
missouri.edu
uh.edu
uconn.edu
nap.edu
tsinghua.edu.cn
rpi.edu
utk.edu
gsu.edu
miami.edu
syr.edu
nus.edu.sg
ku.edu
unm.edu
uw.edu
northeastern.edu
bc.edu
case.edu
rit.edu
clemson.edu
sydney.edu.au
ucf.edu
getty.edu
usu.edu
sc.edu
kent.edu
lsu.edu
temple.edu
monash.edu
unt.edu
sdsu.edu
fordham.edu
unh.edu
ua.edu
fiu.edu
drexel.edu
american.edu
uvm.edu
ub.edu
cuhk.edu.hk
adelaide.edu.au
uc.edu
kit.edu
ucar.edu
vcu.edu
cityu.edu.hk
ohio-state.edu
okstate.edu
ou.edu
ntu.edu.tw
utm.edu
tulane.edu
baylor.edu
auburn.edu
wvu.edu
uab.edu
uwa.edu.au
pdx.edu
exploratorium.edu
smu.edu
sjsu.edu
csun.edu
mtu.edu
rmit.edu.au
umbc.edu
msstate.edu
uark.edu
wayne.edu
mq.edu.au
unr.edu
alaska.edu
fullerton.edu
uwm.edu
stonybrook.edu
sfsu.edu
uw.edu.pl
unlv.edu
du.edu
brandeis.edu
ucpress.edu
k-state.edu
albany.edu
wm.edu
uri.edu
iupui.edu
nmsu.edu
tyc.edu.tw
scu.edu
depaul.edu
ttu.edu
niu.edu
artic.edu
qut.edu.au
sjtu.edu.cn
monash.edu.au
zju.edu.cn
unu.edu
ntu.edu.sg
uts.edu.au
uaf.edu
nau.edu
educause.edu
montana.edu
universityofcalifornia.edu
upf.edu
utdallas.edu
luc.edu
usyd.edu.au
uidaho.edu
open.edu
newschool.edu
swarthmore.edu
umkc.edu
umt.edu
uow.edu.au
lehigh.edu
deakin.edu.au
upc.edu
ustc.edu.cn
fau.edu
toronto.edu
binghamton.edu
sinica.edu.tw
wfu.edu
umaine.edu
iit.edu
uta.edu
marquette.edu
umb.edu
griffith.edu.au
calpoly.edu
uwyo.edu
wmich.edu
chop.edu
williams.edu
jhsph.edu
washu.edu
dukeupress.edu
nova.edu
ohio.edu
vic.edu.au
curtin.edu.au
olemiss.edu
louisville.edu
ohsu.edu
slu.edu
mtsu.edu
bgsu.edu
orst.edu
middlebury.edu
neu.edu
wpi.edu
csulb.edu
fudan.edu.cn
odu.edu
umaryland.edu
usfca.edu
jmu.edu
carleton.edu
utsa.edu
maine.edu
unisa.edu.au
richmond.edu
wwu.edu
sandiego.edu
austlii.edu.au
uncg.edu
smith.edu
whoi.edu
howard.edu
latrobe.edu.au
stsci.edu
ndsu.edu
ksu.edu
ucanr.edu
siu.edu
bcm.edu
nju.edu.cn
boisestate.edu
utoledo.edu
ntnu.edu.tw
nsw.edu.au
newcastle.edu.au
www.lib.utexas.edu
bucknell.edu
liberty.edu
usra.edu
sunysb.edu
mayo.edu
brynmawr.edu
villanova.edu
polyu.edu.hk
njit.edu
usm.edu
uj.edu.pl
pepperdine.edu
marist.edu
udayton.edu
jhuapl.edu
vassar.edu
wesleyan.edu
memphis.edu
montclair.edu
ecu.edu
gvsu.edu
chicagobooth.edu
appstate.edu
csuchico.edu
chapman.edu
utas.edu.au
unlp.edu.ar
pace.edu
uml.edu
calvin.edu
csus.edu
utep.edu
waldenu.edu
und.edu
mtholyoke.edu
uoc.edu
maryville.edu
flinders.edu.au
insead.edu
umassmed.edu
wku.edu
uni.edu
amherst.edu
bard.edu
whu.edu.cn
miamioh.edu
illinoisstate.edu
gia.edu
fi.edu
wellesley.edu
berklee.edu
uillinois.edu
mass.edu
clarku.edu
wa.edu.au
unal.edu.co
rush.edu
ucdenver.edu
uakron.edu
bsu.edu
unomaha.edu
metu.edu.tr
qu.edu
amu.edu.pl
jcu.edu.au
scripps.edu
vnu.edu.vn
erau.edu
kennesaw.edu
creighton.edu
hofstra.edu
wright.edu
txstate.edu
unf.edu
maricopa.edu
nodak.edu
wgu.edu
lmu.edu
tennessee.edu
suny.edu
umsl.edu
isi.edu
csu.edu.au
shu.edu
colby.edu
ncku.edu.tw
um.edu.my
westernsydney.edu.au
uwec.edu
ntnu.edu
sdu.edu.cn
csuohio.edu
calstate.edu
pucp.edu.pe
hacettepe.edu.tr
hkbu.edu.hk
uncc.edu
usg.edu
tcu.edu
ie.edu
icm.edu.pl
tmc.edu
neea.edu.cn
syracuse.edu
usma.edu
dickinson.edu
utsouthwestern.edu
bilkent.edu.tr
ruc.edu.cn
umm.edu
hss.edu
ceu.edu
nrao.edu
fit.edu
moe.edu.cn
duq.edu
oberlin.edu
phoenix.edu
cofc.edu
bowdoin.edu
uncw.edu
union.edu
uthscsa.edu
palomar.edu
london.edu
mines.edu
etsu.edu
ucop.edu
murdoch.edu.au
ecu.edu.au
rasmussen.edu
yu.edu
wichita.edu
hkust.edu.hk
xmu.edu.cn
calstatela.edu
uniandes.edu.co
snhu.edu
suffolk.edu
monmouth.edu
bradley.edu
wlu.edu
mnsu.edu
sonoma.edu
marshall.edu
humboldt.edu
cwru.edu
isu.edu
cmich.edu
oakland.edu
csusb.edu
charlotte.edu
northwell.edu
towson.edu
utmb.edu
hust.edu.cn
reed.edu
rockefeller.edu
sdstate.edu
sysu.edu.cn
missouristate.edu
uwsp.edu
musc.edu
hmc.edu
catholic.edu.au
colgate.edu
kenyon.edu
bnu.edu.cn
ithaca.edu
mst.edu
unmsm.edu.pe
pdc.edu
ucmerced.edu
fitnyc.edu
umassd.edu
itu.edu.tr
westpoint.edu
qld.edu.au
ubalt.edu
iup.edu
xjtu.edu.cn
gettysburg.edu
elon.edu
nctu.edu.tw
usna.edu
utulsa.edu
unr.edu.ar
rowan.edu
tongji.edu.cn
jefferson.edu
eku.edu
babson.edu
stthomas.edu
nthu.edu.tw
ferris.edu
davidson.edu
unmc.edu
cshl.edu
emich.edu
weber.edu
earlham.edu
mssm.edu
wisconsin.edu
ias.edu
pomona.edu
siue.edu
mei.edu
swinburne.edu.au
swin.edu.au
gcu.edu
salk.edu
lindsey.edu
indstate.edu
vu.edu.au
csc.edu.cn
uah.edu
uwi.edu
sans.edu
agh.edu.pl
ecnu.edu.cn
folger.edu
cuanschutz.edu
seattleu.edu
oswego.edu
mcw.edu
pw.edu.pl
trincoll.edu
iese.edu
une.edu.au
kumc.edu
ku.edu.tr
smu.edu.sg
hanover.edu
wakehealth.edu
boun.edu.tr
northwestu.edu
uccs.edu
hamilton.edu
nmt.edu
lamar.edu
